post_id	coremembers	milescovered
6668	a:19:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:2:"21";i:3;s:3:"745";i:4;s:2:"30";i:5;s:2:"24";i:6;s:3:"173";i:7;s:3:"719";i:8;s:2:"99";i:9;s:3:"509";i:10;s:3:"741";i:11;s:3:"749";i:12;s:3:"751";i:13;s:3:"152";i:14;s:1:"5";i:15;s:2:"10";i:16;s:2:"59";i:17;s:3:"169";i:18;s:2:"29";}	375
6707	a:10:{i:0;s:2:"25";i:1;s:2:"21";i:2;s:3:"714";i:3;s:2:"24";i:4;s:1:"9";i:5;s:2:"33";i:6;s:3:"741";i:7;s:1:"5";i:8;s:2:"10";i:9;s:2:"46";}	250
6759	a:21:{i:0;s:3:"725";i:1;s:2:"25";i:2;s:3:"745";i:3;s:3:"765";i:4;s:3:"714";i:5;s:2:"98";i:6;s:2:"24";i:7;s:2:"37";i:8;s:1:"9";i:9;s:3:"155";i:10;s:2:"33";i:11;s:3:"173";i:12;s:3:"749";i:13;s:3:"762";i:14;s:2:"26";i:15;s:2:"77";i:16;s:3:"156";i:17;s:3:"760";i:18;s:2:"34";i:19;s:2:"31";i:20;s:2:"29";}	190
6877	a:19:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:2:"21";i:3;s:3:"745";i:4;s:3:"742";i:5;s:1:"9";i:6;s:2:"27";i:7;s:3:"509";i:8;s:3:"768";i:9;s:3:"741";i:10;s:3:"781";i:11;s:3:"749";i:12;s:3:"762";i:13;s:3:"751";i:14;s:3:"760";i:15;s:2:"58";i:16;s:3:"169";i:17;s:2:"29";i:18;s:2:"68";}	255
6955	a:20:{i:0;s:2:"73";i:1;s:1:"2";i:2;s:2:"21";i:3;s:2:"30";i:4;s:2:"32";i:5;s:2:"24";i:6;s:1:"9";i:7;s:1:"8";i:8;s:2:"33";i:9;s:2:"35";i:10;s:2:"28";i:11;s:2:"26";i:12;s:1:"5";i:13;s:2:"10";i:14;s:2:"16";i:15;s:2:"58";i:16;s:1:"4";i:17;s:2:"31";i:18;s:2:"29";i:19;s:2:"68";}	760
7279	a:22:{i:0;s:3:"725";i:1;s:3:"754";i:2;s:2:"73";i:3;s:2:"21";i:4;s:3:"145";i:5;s:3:"745";i:6;s:2:"32";i:7;s:2:"13";i:8;s:2:"27";i:9;s:3:"726";i:10;s:3:"170";i:11;s:2:"35";i:12;s:3:"762";i:13;s:2:"77";i:14;s:3:"751";i:15;s:3:"152";i:16;s:2:"64";i:17;s:1:"5";i:18;s:2:"10";i:19;s:3:"135";i:20;s:2:"34";i:21;s:2:"46";}	812
7382	a:15:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:3:"745";i:3;s:1:"9";i:4;s:2:"27";i:5;s:3:"726";i:6;s:2:"33";i:7;s:3:"779";i:8;s:1:"5";i:9;s:2:"10";i:10;s:2:"41";i:11;s:3:"760";i:12;s:3:"782";i:13;s:2:"29";i:14;s:2:"68";}	180
7617	a:29:{i:0;s:3:"725";i:1;s:3:"754";i:2;s:2:"73";i:3;s:1:"2";i:4;s:2:"21";i:5;s:2:"30";i:6;s:2:"32";i:7;s:2:"55";i:8;s:2:"37";i:9;s:2:"13";i:10;s:1:"9";i:11;s:2:"27";i:12;s:2:"35";i:13;s:3:"768";i:14;s:3:"741";i:15;s:2:"28";i:16;s:3:"762";i:17;s:2:"26";i:18;s:2:"77";i:19;s:3:"751";i:20;s:1:"5";i:21;s:3:"146";i:22;s:2:"10";i:23;s:2:"59";i:24;s:3:"760";i:25;s:2:"40";i:26;s:3:"782";i:27;s:2:"58";i:28;s:3:"788";}	250
7696	a:18:{i:0;s:2:"73";i:1;s:1:"2";i:2;s:3:"745";i:3;s:2:"30";i:4;s:2:"23";i:5;s:2:"32";i:6;s:2:"13";i:7;s:1:"9";i:8;s:2:"27";i:9;s:3:"726";i:10;s:3:"170";i:11;s:2:"35";i:12;s:3:"741";i:13;s:2:"28";i:14;s:3:"762";i:15;s:2:"77";i:16;s:1:"5";i:17;s:2:"34";}	1270
7766	a:12:{i:0;s:3:"787";i:1;s:3:"754";i:2;s:3:"145";i:3;s:3:"779";i:4;s:3:"751";i:5;s:3:"792";i:6;s:2:"10";i:7;s:3:"782";i:8;s:3:"796";i:9;s:3:"798";i:10;s:1:"4";i:11;s:2:"68";}	280
8070	a:18:{i:0;s:3:"787";i:1;s:2:"73";i:2;s:1:"2";i:3;s:3:"801";i:4;s:2:"37";i:5;s:2:"13";i:6;s:1:"9";i:7;s:2:"27";i:8;s:3:"726";i:9;s:3:"779";i:10;s:3:"762";i:11;s:3:"751";i:12;s:3:"156";i:13;s:1:"5";i:14;s:3:"792";i:15;s:3:"782";i:16;s:3:"798";i:17;s:3:"802";}	265
8215	a:13:{i:0;s:1:"7";i:1;s:2:"73";i:2;s:2:"21";i:3;s:3:"714";i:4;s:1:"9";i:5;s:2:"33";i:6;s:2:"35";i:7;s:3:"741";i:8;s:3:"146";i:9;s:2:"10";i:10;s:3:"135";i:11;s:2:"40";i:12;s:2:"34";}	1520
8424	a:13:{i:0;s:2:"73";i:1;s:1:"2";i:2;s:2:"21";i:3;s:3:"745";i:4;s:2:"23";i:5;s:2:"24";i:6;s:2:"13";i:7;s:2:"27";i:8;s:3:"170";i:9;s:1:"8";i:10;s:3:"741";i:11;s:1:"5";i:12;s:1:"6";}	2050
8494	a:21:{i:0;s:3:"787";i:1;s:3:"725";i:2;s:3:"714";i:3;s:2:"30";i:4;s:2:"55";i:5;s:2:"33";i:6;s:2:"35";i:7;s:3:"509";i:8;s:3:"768";i:9;s:3:"751";i:10;s:3:"799";i:11;s:2:"64";i:12;s:3:"156";i:13;s:3:"792";i:14;s:2:"10";i:15;s:2:"41";i:16;s:3:"782";i:17;s:3:"798";i:18;s:2:"34";i:19;s:1:"4";i:20;s:3:"802";}	368
8776	a:17:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:1:"2";i:3;s:2:"21";i:4;s:2:"30";i:5;s:2:"24";i:6;s:2:"13";i:7;s:1:"9";i:8;s:1:"8";i:9;s:2:"33";i:10;s:3:"741";i:11;s:2:"77";i:12;s:1:"5";i:13;s:2:"10";i:14;s:2:"34";i:15;s:2:"29";i:16;s:2:"68";}	15
8804	a:30:{i:0;s:3:"754";i:1;s:2:"73";i:2;s:1:"2";i:3;s:2:"21";i:4;s:3:"745";i:5;s:3:"813";i:6;s:3:"819";i:7;s:2:"55";i:8;s:2:"13";i:9;s:1:"9";i:10;s:1:"8";i:11;s:3:"173";i:12;s:2:"35";i:13;s:3:"779";i:14;s:3:"509";i:15;s:3:"741";i:16;s:2:"77";i:17;s:3:"799";i:18;s:2:"53";i:19;s:3:"156";i:20;s:1:"5";i:21;s:3:"792";i:22;s:2:"10";i:23;s:2:"16";i:24;s:3:"782";i:25;s:3:"798";i:26;s:3:"802";i:27;s:3:"174";i:28;s:2:"29";i:29;s:2:"68";}	272
8848	a:22:{i:0;s:3:"725";i:1;s:3:"754";i:2;s:2:"73";i:3;s:2:"21";i:4;s:3:"745";i:5;s:3:"714";i:6;s:2:"30";i:7;s:2:"32";i:8;s:2:"24";i:9;s:2:"13";i:10;s:1:"9";i:11;s:2:"33";i:12;s:3:"509";i:13;s:3:"741";i:14;s:3:"762";i:15;s:2:"64";i:16;s:3:"792";i:17;s:2:"10";i:18;s:3:"135";i:19;s:2:"34";i:20;s:2:"29";i:21;s:2:"68";}	1500
8993	a:20:{i:0;s:2:"73";i:1;s:2:"21";i:2;s:3:"745";i:3;s:2:"32";i:4;s:2:"24";i:5;s:2:"37";i:6;s:1:"9";i:7;s:2:"27";i:8;s:3:"170";i:9;s:1:"8";i:10;s:2:"33";i:11;s:3:"752";i:12;s:3:"741";i:13;s:2:"26";i:14;s:2:"77";i:15;s:3:"799";i:16;s:1:"5";i:17;s:3:"792";i:18;s:3:"146";i:19;s:2:"29";}	92
9022	a:9:{i:0;s:2:"73";i:1;s:3:"745";i:2;s:2:"24";i:3;s:3:"170";i:4;s:3:"741";i:5;s:2:"26";i:6;s:3:"799";i:7;s:1:"5";i:8;s:2:"29";}	120
9050	a:17:{i:0;s:1:"2";i:1;s:2:"21";i:2;s:3:"745";i:3;s:2:"23";i:4;s:2:"24";i:5;s:2:"13";i:6;s:1:"9";i:7;s:2:"27";i:8;s:3:"170";i:9;s:1:"8";i:10;s:2:"35";i:11;s:3:"741";i:12;s:2:"28";i:13;s:2:"26";i:14;s:1:"5";i:15;s:2:"16";i:16;s:2:"68";}	1070
9097	a:17:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:2:"21";i:3;s:3:"745";i:4;s:2:"30";i:5;s:2:"24";i:6;s:2:"13";i:7;s:1:"9";i:8;s:3:"870";i:9;s:3:"509";i:10;s:3:"741";i:11;s:3:"799";i:12;s:2:"10";i:13;s:2:"58";i:14;s:2:"34";i:15;s:3:"847";i:16;s:2:"29";}	186
